runID/I:time/D:timeErr/D:A/D:AErr/D:N/D:NErr/D:frac/D
//1363	101.2440	5.7746	1.25110	0.40696	596.268	193.954	0.0000	0.0400
1333  17.4211	1.8647	14.25809	2.00511	6795.334	955.624	0.4058	0.0993
1581	576.1015	6.0626	1.003	0.36633	610.057	174.593	0.6667	0.2517
1341	49.7592	4.7297	10.53703	1.14293	5021.894	544.714	0.4561	0.0862
1569	527.7789	11.8253	1.03870	0.24062	495.038	114.676	0.5833	0.2002
1570	551.3604	11.7349	0.95542	0.23376	455.349	111.410	0.6522	0.2201
1500	351.1762	2.0071	1.42739	0.71879	680.287	342.573	0.8333	0.5062
1463	268.1124	2.9007	3.23955	0.87474	1543.952	416.895	0.3636	0.2161
1502	384.1658	5.4161	1.71815	0.47718	818.861	227.422	0.7895	0.2756
//1432	168.3767	6.7450	1.63944	0.43718	781.349	208.355	0.0000	0.0400
1470	286.7346	7.5124	2.57721	0.50916	1228.286	242.665	0.7188	0.2005
//1442	192.3947	5.7400	0.77059	0.18495	367.261	88.146	0.0000	0.0400
//1410	146.1432	4.5460	1.78383	0.56949	850.162	271.415	0.0000	0.0400
1501	366.5740	12.1554	1.25664	0.26318	598.910	125.431	0.7059	0.1924
1477	311.4700	7.2692	2.19501	0.46475	1046.130	221.496	0.6786	0.2056
1508	403.7767	8.4011	1.31133	0.31372	624.973	149.519	0.6400	0.2088
1620	712.7383	5.9325	0.51888	0.22685	247.296	108.114	0.5000	0.3558
1622	739.0956	5.8153	0.319	0.19099	148.932	91.026	0.7500	0.5742
1591	597.0639	9.1750	0.65777	0.20281	313.489	96.657	0.5000	0.2349
1606	670.3637	8.1496	0.47215	0.18705	225.024	89.147	0.5556	0.3124
1621	725.9779	7.2965	0.94540	0.28983	450.571	138.132	0.6667	0.2751
1596	621.3206	8.9897	0.54433	0.21333	259.424	101.672	0.7778	0.3940
1635	790.8415	7.3501	0.73139	0.26163	348.578	124.690	0.7273	0.3403
1628	764.0919	10.2322	0.37921	0.15317	180.731	72.999	0.6667	0.3536
1644	837.5781	8.7536	0.17953	0.12967	85.561	61.798	1.0000	0.8175
1639	811.8883	10.6417	0.31236	0.13024	148.868	62.073	0.5000	0.3088
1691	1067.3244	2.5736	0.58547	0.28815	279.031	137.333	0.2000	0.2227
1737	1236.2286	4.1875	0.55906	0.30731	266.445	146.464	0.8000	0.5381
